KldB_Code,KldB_Label,ESCO_Code,ESCO_Label
B 81233-118,Fachradiologietechnologe/Fachradiologietechnologin für radiologische Bildgebung und Intervention,7d092380-1c2e-48fe-81de-0d191b4e96d6,Medizinisch-technischer Assistent für radiologische Diagnostik/Medizinisch-technische Assistentin für radiologische Diagnostik
B 81233-119,Fachradiologietechnologe/Fachradiologietechnologin für radiologische und neuroradiologische Bildgebung,7d092380-1c2e-48fe-81de-0d191b4e96d6,Medizinisch-technischer Assistent für radiologische Diagnostik/Medizinisch-technische Assistentin für radiologische Diagnostik
B 94693-100,Werkstättenvorstand - Bühne/Film/Fernsehen,7d27600b-5cff-4ebc-b259-cc2d47572035,Leiter der Requisitenwerkstatt/Leiterin der Requisitenwerkstatt
B 94623-102,Requisitenmeister/Requisitenmeisterin,7d27600b-5cff-4ebc-b259-cc2d47572035,Leiter der Requisitenwerkstatt/Leiterin der Requisitenwerkstatt
B 28222-116,Modenäher/Modenäherin,7d4266b3-2108-4330-b27b-430a96012c21,Maschinennäher/Maschinennäherin
B 28222-164,Mützennäher/Mützennäherin,7d4266b3-2108-4330-b27b-430a96012c21,Maschinennäher/Maschinennäherin
B 28222-293,Textil- und Modenäher/Textil- und Modenäherin,7d4266b3-2108-4330-b27b-430a96012c21,Maschinennäher/Maschinennäherin
B 25232-103,Fluggerätmechaniker/Fluggerätmechanikerin Fachrichtung Triebwerkstechnik,7d599049-d15a-4fda-afe9-b334b0614ec7,Fluggerätemechaniker für Gasturbinen-Triebwerke/Fluggerätemechanikerin für Gasturbinen-Triebwerke
B 25232-110,Flugtriebwerkmechaniker/Flugtriebwerkmechanikerin,7d599049-d15a-4fda-afe9-b334b0614ec7,Fluggerätemechaniker für Gasturbinen-Triebwerke/Fluggerätemechanikerin für Gasturbinen-Triebwerke
B 71424-101,Dolmetscher/Übersetzer / Dolmetscherin/Übersetzerin,7d7ea936-a1c6-499d-9aa7-054e943b019b,Leiter einer Dolmetschagentur/Leiterin einer Dolmetschagentur
B 53333-100,Lebensmittelkontrolleur/Lebensmittelkontrolleurin,7d8b3c73-20f8-467e-91e4-00378673a2cd,Lebensmittelsicherheitsinspektor/Lebensmittelsicherheitsinspektorin
B 53332-100,Amtlicher Fachassistent (Fleischkontrolleur)/Amtliche Fachassistentin (Fleischkontrolleurin),7d8b3c73-20f8-467e-91e4-00378673a2cd,Lebensmittelsicherheitsinspektor/Lebensmittelsicherheitsinspektorin
B 29204-110,Lebensmittelsachverständiger/Lebensmittelsachverständige,7d8b3c73-20f8-467e-91e4-00378673a2cd,Lebensmittelsicherheitsinspektor/Lebensmittelsicherheitsinspektorin
B 24232-102,Dreher/Dreherin,7d9242d3-2a55-45e3-9d67-be76f879de0b,Dreher/Dreherin
B 24232-105,Zerspanungsmechaniker/Zerspanungsmechanikerin Fachrichtung Drehtechnik,7d9242d3-2a55-45e3-9d67-be76f879de0b,Dreher/Dreherin
B 24232-107,Zerspanungsmechaniker/Zerspanungsmechanikerin Fachrichtung Automaten-Drehtechnik,7d9242d3-2a55-45e3-9d67-be76f879de0b,Dreher/Dreherin
B 24232-109,Revolverdreher/Revolverdreherin,7d9242d3-2a55-45e3-9d67-be76f879de0b,Dreher/Dreherin
B 24232-113,Spitzendreher/Spitzendreherin,7d9242d3-2a55-45e3-9d67-be76f879de0b,Dreher/Dreherin
B 24232-115,Karusselldreher/Karusselldreherin,7d9242d3-2a55-45e3-9d67-be76f879de0b,Dreher/Dreherin
B 28312-178,Fachkraft für Lederherstellung und Gerbereitechnik,7d99ed04-fda7-4f35-9f02-0db18078159c,Lederappreteur/Lederappreteurin
B 61213-102,Betriebswirt/Betriebswirtin (Fachschule/Ausbildung) für Außenwirtschaft,7d9c060a-f280-441d-baf9-7d4a6b520a2a,"Import-/Exportmanager für Computer, Peripheriegeräte und Software/Import-/Exportmanagerin für Computer, Peripheriegeräte und Software"
B 61194-104,Leiter/Leiterin des Exports,7d9c060a-f280-441d-baf9-7d4a6b520a2a,"Import-/Exportmanager für Computer, Peripheriegeräte und Software/Import-/Exportmanagerin für Computer, Peripheriegeräte und Software"
B 81584-100,Tierpsychologe/Tierpsychologin,7daa8fed-9a78-4fe2-afc2-153fc423040b,Tierverhaltensforscher/Tierverhaltensforscherin
B 41254-101,Verhaltensforscher/Verhaltensforscherin,7daa8fed-9a78-4fe2-afc2-153fc423040b,Tierverhaltensforscher/Tierverhaltensforscherin
B 25193-103,Industriemeister/Industriemeisterin Fachrichtung Metall Schwerpunkt Produktionstechnik,7db415ec-0437-4a5e-95ea-622ea9f13dd0,Produktionsleiter Metallbau/Produktionsleiterin Metallbau
B 34393-105,Industriemeister/Industriemeisterin Fachrichtung Metall Schwerpunkt Apparatetechnik,7db415ec-0437-4a5e-95ea-622ea9f13dd0,Produktionsleiter Metallbau/Produktionsleiterin Metallbau
B 25193-104,Industriemeister/Industriemeisterin Fachrichtung Metall Schwerpunkt Ausrüstungstechnik,7db415ec-0437-4a5e-95ea-622ea9f13dd0,Produktionsleiter Metallbau/Produktionsleiterin Metallbau
B 25193-105,Industriemeister/Industriemeisterin Fachrichtung Metall Schwerpunkt Betriebstechnik,7db415ec-0437-4a5e-95ea-622ea9f13dd0,Produktionsleiter Metallbau/Produktionsleiterin Metallbau
B 24493-105,Industriemeister/Industriemeisterin Fachrichtung Metall Schwerpunkt Metall- und Schiffbautechnik,7db415ec-0437-4a5e-95ea-622ea9f13dd0,Produktionsleiter Metallbau/Produktionsleiterin Metallbau
B 24193-106,Industriemeister/Industriemeisterin Fachrichtung Gießerei,7db415ec-0437-4a5e-95ea-622ea9f13dd0,Produktionsleiter Metallbau/Produktionsleiterin Metallbau
B 24293-102,Industriemeister/Industriemeisterin Fachrichtung Metall,7db415ec-0437-4a5e-95ea-622ea9f13dd0,Produktionsleiter Metallbau/Produktionsleiterin Metallbau
B 24293-103,Industriemeister/Industriemeisterin Fachrichtung Aluminiumbe- und -verarbeitung,7db415ec-0437-4a5e-95ea-622ea9f13dd0,Produktionsleiter Metallbau/Produktionsleiterin Metallbau
B 24203-100,Metallbearbeitungstechniker/Metallbearbeitungstechnikerin,7db415ec-0437-4a5e-95ea-622ea9f13dd0,Produktionsleiter Metallbau/Produktionsleiterin Metallbau
B 29122-100,Weinküfer/Weinküferin,7dbb116c-a4e7-41e8-9f28-c8a738d93e28,Getränkefiltrationstechniker/Getränkefiltrationstechnikerin
B 29112-100,Brauer und Mälzer/Brauerin und Mälzerin,7dbb116c-a4e7-41e8-9f28-c8a738d93e28,Getränkefiltrationstechniker/Getränkefiltrationstechnikerin
B 29142-100,Fachkraft für Fruchtsafttechnik,7dbb116c-a4e7-41e8-9f28-c8a738d93e28,Getränkefiltrationstechniker/Getränkefiltrationstechnikerin
B 29142-106,Süßmoster/Süßmosterin,7dbb116c-a4e7-41e8-9f28-c8a738d93e28,Getränkefiltrationstechniker/Getränkefiltrationstechnikerin
B 29122-102,Weinhandelsküfer/Weinhandelsküferin,7dbb116c-a4e7-41e8-9f28-c8a738d93e28,Getränkefiltrationstechniker/Getränkefiltrationstechnikerin
B 29122-115,Weintechnologe/Weintechnologin,7dbb116c-a4e7-41e8-9f28-c8a738d93e28,Getränkefiltrationstechniker/Getränkefiltrationstechnikerin
B 94124-109,Liedermacher/Liedermacherin,7dc05fcc-b079-45ed-b5d4-74c75f99976c,Komponist/Komponistin
B 94144-103,Komponist/Komponistin,7dc05fcc-b079-45ed-b5d4-74c75f99976c,Komponist/Komponistin
B 81624-110,Psychologe/Psychologin,7dea476a-dffe-4919-9ee2-fb222e283f41,Hochschullehrkraft für Psychologie
B 61203-101,Geprüfter Handelsfachwirt/Geprüfte Handelsfachwirtin,7dec82e0-3bfc-4c48-812d-c2095bfe05bb,Warenhausleiter/Warenhausleiterin
B 62194-101,"Filialleiter, Verkaufsstellenleiter/Filialleiterin, Verkaufsstellenleiterin",7dec82e0-3bfc-4c48-812d-c2095bfe05bb,Warenhausleiter/Warenhausleiterin
B 61203-103,Betriebswirt/Betriebswirtin (Fachschule) für Handel,7dec82e0-3bfc-4c48-812d-c2095bfe05bb,Warenhausleiter/Warenhausleiterin
B 61204-102,Betriebswirt/Betriebswirtin (Hochschule) für Handel,7dec82e0-3bfc-4c48-812d-c2095bfe05bb,Warenhausleiter/Warenhausleiterin
B 22302-107,Holzbearbeitungsmechaniker/Holzbearbeitungsmechanikerin,7e08d38d-30c9-4a6f-b88e-b28e87c0b259,Holzbohrmaschinenbediener/Hozbohrmaschinenbedienerin
B 53111-121,Ordner/Ordnerin bei Veranstaltungen,7e17f4ea-9565-41e0-b408-b52b5c9492a3,Türsteher/Türsteherin
B 29232-100,Fleischer/Fleischerin,7e33b166-4a6d-40f3-8048-83b3a9d3ef49,Fleischverarbeitungskraft
B 22332-100,Holzmechaniker/Holzmechanikerin Fachrichtung Bauzubehörindustrie,7eadbe33-d62e-4a82-8e3a-e89df5aefb2c,Holzfertigteilbauer/Holzfertigteilbauerin
B 22342-108,"Holzmechaniker/Holzmechanikerin Fachrichtung Möbel- und Gehäuseindustrie, Industrien des Innenausbaus und des Ladenbaus",7eadbe33-d62e-4a82-8e3a-e89df5aefb2c,Holzfertigteilbauer/Holzfertigteilbauerin
B 22342-112,Holzmechaniker/Holzmechanikerin Fachrichtung Sitzmöbel- und Gestellindustrie,7eadbe33-d62e-4a82-8e3a-e89df5aefb2c,Holzfertigteilbauer/Holzfertigteilbauerin
B 22332-101,Holzmechaniker/Holzmechanikerin Fachrichtung Holzpackmittel- und Palettenindustrie,7eadbe33-d62e-4a82-8e3a-e89df5aefb2c,Holzfertigteilbauer/Holzfertigteilbauerin
B 22332-102,Holzmechaniker/Holzmechanikerin Fachrichtung Leisten- und Rahmenindustrie,7eadbe33-d62e-4a82-8e3a-e89df5aefb2c,Holzfertigteilbauer/Holzfertigteilbauerin
B 22342-137,Holzmechaniker/Holzmechanikerin Fachrichtung Möbelbau und Innenausbau,7eadbe33-d62e-4a82-8e3a-e89df5aefb2c,Holzfertigteilbauer/Holzfertigteilbauerin
B 22342-138,"Holzmechaniker/Holzmechanikerin Fachrichtung Bauelemente, Holzpackmittel und Rahmen",7eadbe33-d62e-4a82-8e3a-e89df5aefb2c,Holzfertigteilbauer/Holzfertigteilbauerin
B 22342-222,Holzmechaniker/Holzmechanikerin Fachrichtung Montieren von Innenausbauten und Bauelementen,7eadbe33-d62e-4a82-8e3a-e89df5aefb2c,Holzfertigteilbauer/Holzfertigteilbauerin
B 22342-223,"Holzmechaniker/Holzmechanikerin Fachrichtung Herstellen von Bauelementen, Holzpackmitteln und Rahmen",7eadbe33-d62e-4a82-8e3a-e89df5aefb2c,Holzfertigteilbauer/Holzfertigteilbauerin
B 22342-224,Holzmechaniker/Holzmechanikerin Fachrichtung Herstellen von Möbeln und Innenausbauteilen,7eadbe33-d62e-4a82-8e3a-e89df5aefb2c,Holzfertigteilbauer/Holzfertigteilbauerin
B 51662-107,Dienstleistungsfachkraft im Postbetrieb,7ed2e153-8da8-4c0d-b4c5-3402c623f34b,Postbote/Postbotin
B 51322-104,Fachkraft für Brief- und Frachtverkehr,7ed2e153-8da8-4c0d-b4c5-3402c623f34b,Postbote/Postbotin
B 51322-108,"Fachkraft für Kurier-, Express- und Postdienstleistungen",7ed2e153-8da8-4c0d-b4c5-3402c623f34b,Postbote/Postbotin
B 51322-109,Postjungbote/Postjungbotin,7ed2e153-8da8-4c0d-b4c5-3402c623f34b,Postbote/Postbotin
B 26233-107,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Elektrotechnik Schwerpunkt Energietechnik,7ef064b1-aab8-4818-a468-8f17acbfd995,Wasserkraftwerkstechniker/Wasserkraftwerkstechnikerin
B 62194-101,"Filialleiter, Verkaufsstellenleiter/Filialleiterin, Verkaufsstellenleiterin",7f0b46be-8b7a-4675-987d-89a8a7193730,Leiter eines Musik- und Videogeschäftes/Leiterin eines Musik- und Videogeschäftes
B 26324-113,Ingenieur/Ingenieurin für Mikrosystemtechnik,7f0fe7d3-54c6-41e9-88ba-9d4f0f1a46b4,Ingenieur Mikrosystemtechnik/Ingenieurin Mikrosystemtechnik
B 41404-103,Physiker/Physikerin,7f2761eb-4edc-48ad-9fbf-eed0a0db9a21,Physiker/Physikerin
B 41484-117,Kernphysiker/Kernphysikerin,7f2761eb-4edc-48ad-9fbf-eed0a0db9a21,Physiker/Physikerin
B 41484-118,Medizinphysiker/Medizinphysikerin,7f2761eb-4edc-48ad-9fbf-eed0a0db9a21,Physiker/Physikerin
B 41484-119,Wirtschaftsphysiker/Wirtschaftsphysikerin,7f2761eb-4edc-48ad-9fbf-eed0a0db9a21,Physiker/Physikerin
B 63401-102,Kartenkontrolleur/Kartenkontrolleurin,7f346896-a4fb-47a1-9572-13398bc297a6,Platzanweiser/Platzanweiserin
B 63401-103,Saaldiener/Saaldienerin,7f346896-a4fb-47a1-9572-13398bc297a6,Platzanweiser/Platzanweiserin
B 63401-106,Helfer/Helferin im Veranstaltungsservice,7f346896-a4fb-47a1-9572-13398bc297a6,Platzanweiser/Platzanweiserin
B 23493-100,Buchbindermeister/Buchbindermeisterin,7f35043b-ebb5-40bf-9974-46a29915f6bf,Fadenheftmaschinenbediener/Fadenheftmaschinenbedienerin
B 23422-100,Buchbinder/Buchbinderin Fachrichtung Einzel- und Sonderfertigung,7f35043b-ebb5-40bf-9974-46a29915f6bf,Fadenheftmaschinenbediener/Fadenheftmaschinenbedienerin
B 23422-101,Buchbinder/Buchbinderin Fachrichtung Buchfertigung (Serie),7f35043b-ebb5-40bf-9974-46a29915f6bf,Fadenheftmaschinenbediener/Fadenheftmaschinenbedienerin
B 23422-103,Buchbinder/Buchbinderin Fachrichtung Druckweiterverarbeitung (Serie),7f35043b-ebb5-40bf-9974-46a29915f6bf,Fadenheftmaschinenbediener/Fadenheftmaschinenbedienerin
B 23122-109,Papierverarbeiter/Papierverarbeiterin,7f35043b-ebb5-40bf-9974-46a29915f6bf,Fadenheftmaschinenbediener/Fadenheftmaschinenbedienerin
B 23122-114,Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin Schwerpunkt Druckweiter- und Papierverarbeitung,7f35043b-ebb5-40bf-9974-46a29915f6bf,Fadenheftmaschinenbediener/Fadenheftmaschinenbedienerin
B 23422-116,Buchbinder/Buchbinderin,7f35043b-ebb5-40bf-9974-46a29915f6bf,Fadenheftmaschinenbediener/Fadenheftmaschinenbedienerin
B 23422-117,Medientechnologe/Medientechnologin Druckverarbeitung,7f35043b-ebb5-40bf-9974-46a29915f6bf,Fadenheftmaschinenbediener/Fadenheftmaschinenbedienerin
B 51122-101,Fachkraft Bodenverkehrsdienst im Luftverkehr,7f7d2bfe-f038-436f-95ff-29bc90726430,Flugzeugeinwinker/Flugzeugeinwinkerin
B 42283-103,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Umweltschutztechnik Schwerpunkt Wasserver- und -entsorgungstechnik,7f800e7d-9d86-406a-9116-b5eca7526869,Wasserwerker/Wasserwerkerin
B 23412-115,Rotationsdrucker/Rotationsdruckerin,7fbe45c6-1914-43ba-9cfb-e0a4e051da92,Drucker Tiefdruck/Druckerin Tiefdruck
B 23412-124,Spezialdrucker/Spezialdruckerin,7fbe45c6-1914-43ba-9cfb-e0a4e051da92,Drucker Tiefdruck/Druckerin Tiefdruck
B 23412-140,Drucker/Druckerin Fachrichtung Tiefdruck,7fbe45c6-1914-43ba-9cfb-e0a4e051da92,Drucker Tiefdruck/Druckerin Tiefdruck
B 23412-154,Medientechnologe/Medientechnologin Druck,7fbe45c6-1914-43ba-9cfb-e0a4e051da92,Drucker Tiefdruck/Druckerin Tiefdruck
B 61212-102,Kaufmann/Kauffrau im Groß- und Außenhandel Fachrichtung Großhandel,7fddf2b5-1ba7-4327-86f9-e5da8ddb28a6,Großhändler für Büromaschinen und -geräte/Großhändlerin für Büromaschinen und -geräte
B 51694-103,Leiter/Leiterin für Logistik,7ff7ab7d-12a6-4d87-ac91-8a8f3540b1c0,"Vertriebsleiter für Felle, Häute und Lederprodukte/Vertriebsleiterin für Felle, Häute und Lederprodukte"
B 81733-100,Logopäde/Logopädin,8021f3a2-e3de-43c0-b366-075da74dc5b7,Sprachtherapeut/Sprachtherapeutin
B 81733-102,Sprachtherapeut/Sprachtherapeutin,8021f3a2-e3de-43c0-b366-075da74dc5b7,Sprachtherapeut/Sprachtherapeutin
B 81733-105,"Staatlich geprüfter Atem-, Sprech- und Stimmlehrer/Staatlich geprüfte Atem-, Sprech- und Stimmlehrerin",8021f3a2-e3de-43c0-b366-075da74dc5b7,Sprachtherapeut/Sprachtherapeutin
B 84213-145,Lehrlogopäde/Lehrlogopädin,8021f3a2-e3de-43c0-b366-075da74dc5b7,Sprachtherapeut/Sprachtherapeutin
B 81734-107,Klinischer Linguist/Klinische Linguistin,8021f3a2-e3de-43c0-b366-075da74dc5b7,Sprachtherapeut/Sprachtherapeutin
B 81734-109,Sprechwissenschaftler/Sprechwissenschaftlerin,8021f3a2-e3de-43c0-b366-075da74dc5b7,Sprachtherapeut/Sprachtherapeutin
B 61212-102,Kaufmann/Kauffrau im Groß- und Außenhandel Fachrichtung Großhandel,8022c821-1ed0-414e-b440-63cc88943a89,Großhändler für Armbanduhren und Schmuck/Großhändlerin für Armbanduhren und Schmuck
B 93323-100,Kunstmaler/Kunstmalerin,802a0e5d-5625-4166-a1f0-d13e2586df55,Grafiker/Grafikerin
B 93304-118,Bildender Künstler/Bildende Künstlerin,802a0e5d-5625-4166-a1f0-d13e2586df55,Grafiker/Grafikerin
B 11412-102,Fischwirt/Fischwirtin Schwerpunkt Fischhaltung und Fischzucht,802d3a2f-b966-42e3-94df-683adfcff20c,Aufzuchttechniker Aquakultur/Aufzuchttechnikerin Aquakultur
B 11423-100,Fischereitechniker/Fischereitechnikerin,802d3a2f-b966-42e3-94df-683adfcff20c,Aufzuchttechniker Aquakultur/Aufzuchttechnikerin Aquakultur
B 11412-129,Fischwirt/Fischwirtin Fachrichtung Aquakultur und Binnenfischerei,802d3a2f-b966-42e3-94df-683adfcff20c,Aufzuchttechniker Aquakultur/Aufzuchttechnikerin Aquakultur
B 29202-103,Fachkraft für Lebensmitteltechnik,804f1ae2-429c-48a9-9858-d5d42df144eb,Trocknerbediener/Trocknerbedienerin
B 25122-114,Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin (ohne Angabe des Schwerpunkts),804f1ae2-429c-48a9-9858-d5d42df144eb,Trocknerbediener/Trocknerbedienerin
B 29202-106,Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin Schwerpunkt Lebensmitteltechnik,804f1ae2-429c-48a9-9858-d5d42df144eb,Trocknerbediener/Trocknerbedienerin
B 11222-100,Tierwirt/Tierwirtin Fachrichtung Geflügelhaltung,8050a89e-563b-4073-943b-84b0c4286c1f,Geflügelgeschlechtsbestimmer/Geflügelgeschlechtsbestimmerin
B 11211-107,Helfer/Helferin in der Nutztierhaltung,8050a89e-563b-4073-943b-84b0c4286c1f,Geflügelgeschlechtsbestimmer/Geflügelgeschlechtsbestimmerin
B 52313-103,Co-Pilot/Co-Pilotin,807a1ac3-4f56-41f3-a68c-d653d558eb0a,Kopilot/Kopilotin
B 41422-111,Edelmetallprüfer/Edelmetallprüferin,808b5940-8092-4f08-bc37-9b60ee5761d8,Edelmetallprüfer/Edelmetallprüferin
B 51311-118,Lager- und Transportarbeiter/Lager- und Transportarbeiterin,808becc8-5a4e-4e71-a043-c2ea32b56ae3,Materiallagerarbeiter/Materiallagerarbeiterin
B 51312-109,Fachkraft - Logistik/Materialwirtschaft,808becc8-5a4e-4e71-a043-c2ea32b56ae3,Materiallagerarbeiter/Materiallagerarbeiterin
B 61212-100,Kaufmann/Kauffrau im Groß- und Außenhandel Fachrichtung Außenhandel,8099a96a-753b-49fc-a36a-d70b8aa9fdcf,Import-/Exportsachbearbeiter für lebende Tiere/Import-/Exportsachbearbeiterin für lebende Tiere
B 81752-100,Heilpraktiker/Heilpraktikerin,80a2aba7-ef7d-46ef-a8ec-15ff6131c0f1,Therapeut Traditionelle Chinesische Medizin/Therapeutin Traditionelle Chinesische Medizin
B 81782-103,Fachkraft für alternative Therapieformen (nicht  Arzt/Ärztin oder Heilpraktiker/in),80a2aba7-ef7d-46ef-a8ec-15ff6131c0f1,Therapeut Traditionelle Chinesische Medizin/Therapeutin Traditionelle Chinesische Medizin
B 84214-133,Wirtschaftspädagoge/Wirtschaftspädagogin,80c72c55-556a-41b1-87ef-a29c3d2afa6e,Lehrkraft für wirtschaftskundliche Fächer Sekundarstufe
B 42283-102,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Umweltschutztechnik Schwerpunkt Landschaftsökologie,80d880ec-3bae-45a2-a2d3-41345ee0b319,Umweltberater/Umweltberaterin
B 11724-105,Landschaftsökologe/Landschaftsökologin,80d880ec-3bae-45a2-a2d3-41345ee0b319,Umweltberater/Umweltberaterin
B 61194-128,Leiter/Leiterin des Einkaufs,80db1e93-6dad-49aa-b465-d64a4a73141b,Einkaufsleiter für Lederrohstoffe/Einkaufsleiterin für Lederrohstoffe
B 84214-105,Fachlehrer/Fachlehrerin (staatlich geprüft) für musisch-technische Fächer,80ec8f3e-2cda-4ea6-a382-ece99589ccdd,Kunsterzieher Sekundarstufe/Kunsterzieherin Sekundarstufe
B 84434-107,Kunstpädagoge/Kunstpädagogin,80ec8f3e-2cda-4ea6-a382-ece99589ccdd,Kunsterzieher Sekundarstufe/Kunsterzieherin Sekundarstufe
B 62222-100,"Kaufmann/Kauffrau im Einzelhandel Fachbereich Uhren, Schmuck, Juwelen, Gold- und Silberwaren",80fe3002-3ae4-4d3b-8969-0f2ce1049d7d,Fachverkäufer für Schmuck und Uhren/Fachverkäuferin für Schmuck und Uhren
B 62222-101,Fachverkäufer/Fachverkäuferin für Schmuck/Uhren/Gold-/Silberwaren,80fe3002-3ae4-4d3b-8969-0f2ce1049d7d,Fachverkäufer für Schmuck und Uhren/Fachverkäuferin für Schmuck und Uhren
B 43114-114,Informationsmanager/Informationsmanagerin,810e5e67-acd5-499a-b307-cf5bea330859,Informations- und Wissensmanager/Informations- und Wissensmanagerin (IKT)
B 43194-102,Leiter/Leiterin - Informationsmanagement,810e5e67-acd5-499a-b307-cf5bea330859,Informations- und Wissensmanager/Informations- und Wissensmanagerin (IKT)
B 25104-142,Ingenieur/Ingenieurin für Maschinenbau,811595cc-3100-4ca0-b860-3a77349342ae,Ingenieur Fluidtechnik/Ingenieurin Fluidtechnik
B 84583-114,Skilehrer/Skilehrerin,812276dd-95ea-428b-b05e-a61c4089063c,Skitrainer/Skitrainerin
B 43353-102,Wissensmanagementsystementwickler/Wissensmanagementsystementwicklerin,812c217d-32b7-4f6a-9faf-993d3577ac7f,Wissensingenieur/Wissensingenieurin
B 43114-110,Wirtschaftsinformatiker/Wirtschaftsinformatikerin (Hochschule),812c217d-32b7-4f6a-9faf-993d3577ac7f,Wissensingenieur/Wissensingenieurin
B 83142-103,Sozialassistent/Sozialassistentin,81309031-dad2-4a7a-bde6-7f6e518f89ff,Sozialbetreuer Betreuungseinrichtung/Sozialbetreuerin Betreuungseinrichtung
B 62194-101,"Filialleiter, Verkaufsstellenleiter/Filialleiterin, Verkaufsstellenleiterin",814205e9-8bd1-4653-bdbc-fd2f9e9a8225,Leiter eines Küchen- und Badezimmergeschäftes/Leiterin eines Küchen- und Badezimmergeschäftes
B 43122-102,Industrietechnologe/Industrietechnologin Fachrichtung Datentechnik,81480b40-a318-47f3-9b2c-56b69ed67d95,IT-Netzwerk-Administrator/IT-Netzwerk-Administratorin
B 43122-103,Assistent/Assistentin für Informatik (technische Informatik),81480b40-a318-47f3-9b2c-56b69ed67d95,IT-Netzwerk-Administrator/IT-Netzwerk-Administratorin
B 43112-107,Kaufmännischer Assistent/Wirtschaftsassistent / Kaufmännische Assistentin/Wirtschaftsassistentin - Informationsverarbeitung,81480b40-a318-47f3-9b2c-56b69ed67d95,IT-Netzwerk-Administrator/IT-Netzwerk-Administratorin
B 43112-116,Assistent/Assistentin für Informatik (Wirtschaftsinformatik),81480b40-a318-47f3-9b2c-56b69ed67d95,IT-Netzwerk-Administrator/IT-Netzwerk-Administratorin
B 43102-102,Fachinformatiker/Fachinformatikerin Fachrichtung Systemintegration,81480b40-a318-47f3-9b2c-56b69ed67d95,IT-Netzwerk-Administrator/IT-Netzwerk-Administratorin
B 43102-107,Fachberater/Fachberaterin für integrierte Systeme,81480b40-a318-47f3-9b2c-56b69ed67d95,IT-Netzwerk-Administrator/IT-Netzwerk-Administratorin
B 43112-120,Kaufmännischer Assistent/Wirtschaftsassistent / Kaufmännische Assistentin/Wirtschaftsassistentin - Betriebsinformatik,81480b40-a318-47f3-9b2c-56b69ed67d95,IT-Netzwerk-Administrator/IT-Netzwerk-Administratorin
B 43343-104,Netzwerkadministrator/Netzwerkadministratorin,81480b40-a318-47f3-9b2c-56b69ed67d95,IT-Netzwerk-Administrator/IT-Netzwerk-Administratorin
B 43313-103,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Informatik Schwerpunkt Netzwerktechnologie,81480b40-a318-47f3-9b2c-56b69ed67d95,IT-Netzwerk-Administrator/IT-Netzwerk-Administratorin
B 43114-113,Verwaltungsinformatiker/Verwaltungsinformatikerin,81480b40-a318-47f3-9b2c-56b69ed67d95,IT-Netzwerk-Administrator/IT-Netzwerk-Administratorin
B 43312-100,Fachinformatiker/Fachinformatikerin Fachrichtung Digitale Vernetzung,81480b40-a318-47f3-9b2c-56b69ed67d95,IT-Netzwerk-Administrator/IT-Netzwerk-Administratorin
B 43343-136,Identity-and Access-Manager/Identity-and Access-Managerin,81480b40-a318-47f3-9b2c-56b69ed67d95,IT-Netzwerk-Administrator/IT-Netzwerk-Administratorin
B 29252-109,Milchtechnologe/Milchtechnologin,8188136d-df82-4910-91e1-b185ec17c3c9,Milchannahmemitarbeiter/Milchannahmemitarbeiterin
B 25232-102,Fluggerätmechaniker/Fluggerätmechanikerin Fachrichtung Instandhaltungstechnik,81a1e1f5-cce3-444d-bfc3-9771236d57cd,Luftfahrzeugtechniker Instandhaltung/Luftfahrzeugtechnikerin Instandhaltung
B 41314-117,Ingenieur/Ingenieurin für Chemietechnik,81cc1583-3614-4207-8e54-00b8cd4ddf09,Leiter in einem Chemiewerk/Leiterin in einem Chemiewerk
B 52132-100,Schienenfahrzeugführer/Schienenfahrzeugführerin,81f6a814-1f4e-47d4-9c75-47977c7267ee,Schienenfahrzeugführer/Schienenfahrzeugführerin
B 52202-100,Eisenbahner/Eisenbahnerin im Betriebsdienst Fachrichtung Lokführer und Transport (Ausbildung bis 2022),81f6a814-1f4e-47d4-9c75-47977c7267ee,Schienenfahrzeugführer/Schienenfahrzeugführerin
B 52202-113,Eisenbahner im Betriebsdienst Lokführer und Transport/Eisenbahnerin im Betriebsdienst Lokführerin und Transport,81f6a814-1f4e-47d4-9c75-47977c7267ee,Schienenfahrzeugführer/Schienenfahrzeugführerin
B 84213-162,Lehrrettungsassistent/Lehrrettungsassistentin,81f8d141-3f67-4fb0-a349-db0147ef7b3a,Lehrkraft im Bereich Berufsbildung
B 84213-113,Lehrkraft an Altenpflegeschulen,81f8d141-3f67-4fb0-a349-db0147ef7b3a,Lehrkraft im Bereich Berufsbildung
B 84214-108,Fachlehrer/Fachlehrerin für berufliche/allgemeinbildende Schulen,81f8d141-3f67-4fb0-a349-db0147ef7b3a,Lehrkraft im Bereich Berufsbildung
B 84214-120,Lehrer/Lehrerin an einer Schule für Arbeitserziehung,81f8d141-3f67-4fb0-a349-db0147ef7b3a,Lehrkraft im Bereich Berufsbildung
