KldB_Code,KldB_Label,ESCO_Code,ESCO_Label
B 71304-114,Betriebswirt/Betriebswirtin (Hochschule),04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,Leiter der Buchhaltung/Leiterin der Buchhaltung
B 71304-115,Betriebswirt/Betriebswirtin (Hochschule) für Industrie,04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,Leiter der Buchhaltung/Leiterin der Buchhaltung
B 72214-102,Betriebswirt/Betriebswirtin (Hochschule) für Rechnungswesen und Controlling,04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,Leiter der Buchhaltung/Leiterin der Buchhaltung
B 71304-118,Betriebswirt/Betriebswirtin (Hochschule) für Handwerksmanagement,04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,Leiter der Buchhaltung/Leiterin der Buchhaltung
B 24134-104,Ingenieur/Ingenieurin für Gießereitechnik,0552ff45-b282-455c-b431-fb05a0e00801,Gießereileiter/Gießereileiterin
B 26312-104,Kommunikationselektroniker/Kommunikationselektronikerin Fachrichtung Telekommunikationstechnik,056bef79-c125-47ab-b6b9-8eed05c9458c,Telekommunikationstechniker/Telekommunikationstechnikerin
B 26312-112,Fernmeldeanlagenelektroniker/Fernmeldeanlagenelektronikerin,056bef79-c125-47ab-b6b9-8eed05c9458c,Telekommunikationstechniker/Telekommunikationstechnikerin
B 26302-131,Elektroniker/Elektronikerin für Geräte und Systeme,056bef79-c125-47ab-b6b9-8eed05c9458c,Telekommunikationstechniker/Telekommunikationstechnikerin
B 26312-181,Elektroniker/Elektronikerin Fachrichtung Informations- und Telekommunikationstechnik,056bef79-c125-47ab-b6b9-8eed05c9458c,Telekommunikationstechniker/Telekommunikationstechnikerin
B 26312-206,Fernmeldeelektroniker/Fernmeldeelektronikerin,056bef79-c125-47ab-b6b9-8eed05c9458c,Telekommunikationstechniker/Telekommunikationstechnikerin
B 26312-311,Elektroniker/Elektronikerin für Informations- und Systemtechnik,056bef79-c125-47ab-b6b9-8eed05c9458c,Telekommunikationstechniker/Telekommunikationstechnikerin
B 26312-424,Glasfasermonteur/Glasfasermonteurin,056bef79-c125-47ab-b6b9-8eed05c9458c,Telekommunikationstechniker/Telekommunikationstechnikerin
B 62182-102,Promoter/Promoterin,056f1849-7ff8-4d6f-9b8a-176a610bba44,Promoter/Promoterin
B 84214-112,Lehrer/Lehrerin an Fachschulen für die Seefahrt,0599d0e7-398f-464b-97bb-427686f27d50,Lehrkraft im Bereich Schifffahrt
B 72123-102,Devisensachbearbeiter/Devisensachbearbeiterin,05a06850-d465-481e-9d68-792d4ad1da3e,Devisenhändler/Devisenhändlerin
B 72123-111,Börsenhändler/Börsenhändlerin,05a06850-d465-481e-9d68-792d4ad1da3e,Devisenhändler/Devisenhändlerin
B 25233-100,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Luftfahrttechnik,05a55bb3-68d6-4ff0-83fd-46a68a45a598,Flugzeugbautechniker/Flugzeugbautechnikerin
B 25293-108,Industriemeister/Industriemeisterin Fachrichtung Flugzeugbau/Luftfahrttechnik,05a55bb3-68d6-4ff0-83fd-46a68a45a598,Flugzeugbautechniker/Flugzeugbautechnikerin
B 27182-101,Beamter/Beamtin in der Wehrverwaltung des Bundes (mittlerer technischer Dienst),05a55bb3-68d6-4ff0-83fd-46a68a45a598,Flugzeugbautechniker/Flugzeugbautechnikerin
B 22322-100,Holzbearbeitungsmechaniker/Holzbearbeitungsmechanikerin Fachrichtung Sägeindustrie,05ae3e87-36ad-428f-a086-8a2ed458db3b,Tischkreissägenführer/Tischkreissägenführerin
B 22322-110,Sägewerker/Sägewerkerin,05ae3e87-36ad-428f-a086-8a2ed458db3b,Tischkreissägenführer/Tischkreissägenführerin
B 32193-100,Geprüfter Polier/Geprüfte Polierin - Hochbau,05ebeb56-6ceb-488d-ba91-ed15088efc8e,Aufsichtskraft Brückenbau
B 32193-101,Werkpolier/Werkpolierin - Hochbau,05ebeb56-6ceb-488d-ba91-ed15088efc8e,Aufsichtskraft Brückenbau
B 32102-102,Vorarbeiter/Vorarbeiterin im Hochbau,05f321f8-055b-407d-bf19-e0ddabda56b7,Maurer/Maurerin
B 32122-100,Maurer/Maurerin,05f321f8-055b-407d-bf19-e0ddabda56b7,Maurer/Maurerin
B 32132-100,Feuerungs- und Schornsteinbauer/Feuerungs- und Schornsteinbauerin,05f321f8-055b-407d-bf19-e0ddabda56b7,Maurer/Maurerin
B 32132-102,Schornsteinbauer/Schornsteinbauerin,05f321f8-055b-407d-bf19-e0ddabda56b7,Maurer/Maurerin
B 32122-104,"Fuger, Verfuger / Fuger, Verfugerin",05f321f8-055b-407d-bf19-e0ddabda56b7,Maurer/Maurerin
B 32123-100,Maurer/Maurerin für Restaurierungsarbeiten,05f321f8-055b-407d-bf19-e0ddabda56b7,Maurer/Maurerin
B 32123-101,Geprüfter Restaurator im Maurer- und Betonbauerhandwerk/Geprüfte Restauratorin im Maurer- und Betonbauerhandwerk - Master Professional für Restaurierung im Handwerk,05f321f8-055b-407d-bf19-e0ddabda56b7,Maurer/Maurerin
B 32132-106,Hochbaufacharbeiter/Hochbaufacharbeiterin Schwerpunkt Feuerungs- und Schornsteinbauarbeiten,05f321f8-055b-407d-bf19-e0ddabda56b7,Maurer/Maurerin
B 32122-113,Hochbaufacharbeiter/Hochbaufacharbeiterin Schwerpunkt Maurerarbeiten,05f321f8-055b-407d-bf19-e0ddabda56b7,Maurer/Maurerin
B 29232-111,Fleischzerleger/Fleischzerlegerin,05f6eaeb-b285-46bd-a44a-225bd429e329,Fleischverarbeiter/Fleischverarbeiterin
B 91384-103,Kriminologe/Kriminologin,0611f232-b30e-46c7-9c26-2d59b1448e79,Kriminologe/Kriminologin
B 94532-100,Audio-Engineer,061f56c6-36eb-4aa7-b5ef-98b7a569da1c,Video-Operator/Video-Operatorin
B 62382-100,"Kaufmann/Kauffrau im Einzelhandel Fachbereich Diät- und Reformwaren, Lebensmittel",062d666b-8b5f-4ff2-9047-113831eb3e9f,Fachverkäufer für Fisch und Meeresfrüchte/Fachverkäuferin für Fisch und Meeresfrüchte
B 62302-100,Fachverkäufer/Fachverkäuferin für Nahrungsmittel,062d666b-8b5f-4ff2-9047-113831eb3e9f,Fachverkäufer für Fisch und Meeresfrüchte/Fachverkäuferin für Fisch und Meeresfrüchte
B 62302-103,Verkäufer/Verkäuferin im Nahrungsmittelhandwerk,062d666b-8b5f-4ff2-9047-113831eb3e9f,Fachverkäufer für Fisch und Meeresfrüchte/Fachverkäuferin für Fisch und Meeresfrüchte
B 21114-114,Ingenieur/Ingenieurin für Rohstoffgewinnung und -aufbereitung,0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,Führungskraft in der Öl- und Gasförderung
B 24113-105,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Hüttentechnik,06351e17-67c4-44bc-adf7-64b73f92c3b5,Metallurgietechniker/Metallurgietechnikerin
B 41423-103,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Werkstofftechnik,06351e17-67c4-44bc-adf7-64b73f92c3b5,Metallurgietechniker/Metallurgietechnikerin
